English Name,Bird Song
Western Cattle Egret,https://xeno-canto.org/136312/download
Black-headed Heron,https://xeno-canto.org/739412/download
Purple Heron,https://xeno-canto.org/237893/download
Purple Heron,https://xeno-canto.org/227072/download
Little Egret,https://xeno-canto.org/138381/download
Hamerkop,https://xeno-canto.org/138405/download
Hamerkop,https://xeno-canto.org/138404/download
African Harrier-Hawk,https://xeno-canto.org/285475/download
African Harrier-Hawk,https://xeno-canto.org/270161/download
African Harrier-Hawk,https://xeno-canto.org/138029/download
Crowned Eagle,https://xeno-canto.org/149326/download
Martial Eagle,https://xeno-canto.org/166379/download
Long-crested Eagle,https://xeno-canto.org/739780/download
Long-tailed Hawk,https://xeno-canto.org/740059/download
Long-tailed Hawk,https://xeno-canto.org/740058/download
Long-tailed Hawk,https://xeno-canto.org/740055/download
Long-tailed Hawk,https://xeno-canto.org/740056/download
African Goshawk,https://xeno-canto.org/739364/download
Shikra,https://xeno-canto.org/664412/download
Little Sparrowhawk,https://xeno-canto.org/116727/download
Black Sparrowhawk,https://xeno-canto.org/608238/download
African Fish Eagle,https://xeno-canto.org/783396/download
African Fish Eagle,https://xeno-canto.org/782870/download
African Fish Eagle,https://xeno-canto.org/282069/download
African Fish Eagle,https://xeno-canto.org/253031/download
African Fish Eagle,https://xeno-canto.org/227660/download
African Fish Eagle,https://xeno-canto.org/274009/download
African Fish Eagle,https://xeno-canto.org/282070/download
Mountain Buzzard,https://xeno-canto.org/237447/download
Mountain Buzzard,https://xeno-canto.org/233778/download
Mountain Buzzard,https://xeno-canto.org/113420/download
Mountain Buzzard,https://xeno-canto.org/235936/download
Augur Buzzard,https://xeno-canto.org/703487/download
Western Barn Owl,https://xeno-canto.org/138041/download
Western Barn Owl,https://xeno-canto.org/138676/download
Western Barn Owl,https://xeno-canto.org/138038/download
Pearl-spotted Owlet,https://xeno-canto.org/608517/download
Pearl-spotted Owlet,https://xeno-canto.org/608515/download
Pearl-spotted Owlet,https://xeno-canto.org/739693/download
Pearl-spotted Owlet,https://xeno-canto.org/612112/download
Pearl-spotted Owlet,https://xeno-canto.org/612111/download
Red-chested Owlet,https://xeno-canto.org/265021/download
Red-chested Owlet,https://xeno-canto.org/263442/download
Red-chested Owlet,https://xeno-canto.org/157064/download
Red-chested Owlet,https://xeno-canto.org/113250/download
Red-chested Owlet,https://xeno-canto.org/667568/download
African Scops Owl,https://xeno-canto.org/44210/download
African Scops Owl,https://xeno-canto.org/288634/download
Greyish Eagle-Owl,https://xeno-canto.org/288824/download
Spotted Eagle-Owl,https://xeno-canto.org/704438/download
Verreaux's Eagle-Owl,https://xeno-canto.org/252061/download
African Wood Owl,https://xeno-canto.org/235906/download
African Wood Owl,https://xeno-canto.org/235903/download
African Wood Owl,https://xeno-canto.org/285493/download
African Wood Owl,https://xeno-canto.org/284013/download
African Wood Owl,https://xeno-canto.org/268766/download
African Wood Owl,https://xeno-canto.org/235905/download
African Wood Owl,https://xeno-canto.org/161087/download
African Wood Owl,https://xeno-canto.org/156619/download
African Wood Owl,https://xeno-canto.org/138899/download
African Wood Owl,https://xeno-canto.org/166382/download
African Wood Owl,https://xeno-canto.org/161088/download
Speckled Mousebird,https://xeno-canto.org/739596/download
Speckled Mousebird,https://xeno-canto.org/282039/download
Speckled Mousebird,https://xeno-canto.org/254851/download
Speckled Mousebird,https://xeno-canto.org/233058/download
Speckled Mousebird,https://xeno-canto.org/137090/download
Blue-naped Mousebird,https://xeno-canto.org/740053/download
Blue-naped Mousebird,https://xeno-canto.org/295688/download
Narina Trogon,https://xeno-canto.org/264913/download
Narina Trogon,https://xeno-canto.org/264910/download
Narina Trogon,https://xeno-canto.org/544740/download
Narina Trogon,https://xeno-canto.org/265436/download
Narina Trogon,https://xeno-canto.org/264907/download
Narina Trogon,https://xeno-canto.org/157054/download
Narina Trogon,https://xeno-canto.org/739411/download
Bar-tailed Trogon,https://xeno-canto.org/241061/download
Bar-tailed Trogon,https://xeno-canto.org/240265/download
Bar-tailed Trogon,https://xeno-canto.org/559209/download
Bar-tailed Trogon,https://xeno-canto.org/559208/download
Bar-tailed Trogon,https://xeno-canto.org/246552/download
Bar-tailed Trogon,https://xeno-canto.org/157019/download
Bar-tailed Trogon,https://xeno-canto.org/182164/download
Bar-tailed Trogon,https://xeno-canto.org/59077/download
Forest Wood Hoopoe,https://xeno-canto.org/739889/download
